,VehId,subtrajetoria,pares,grid_origem,grid_final,turno,Quantidade de Rotas Contadas,Quantidade de Rotas Contadas - Turno
1066,347,347_subtraj_72,25826_39324,25826,39324,Afternoon,4,2
1067,347,347_subtraj_75,26204_20908,26204,20908,Afternoon,2,1
1068,347,347_subtraj_78,31284_21655,31284,21655,Afternoon,2,2
1069,347,347_subtraj_82,21285_39324,21285,39324,Afternoon,5,4
1070,347,347_subtraj_83,21285_39324,21285,39324,Afternoon,5,4
1071,347,347_subtraj_86,25826_39324,25826,39324,Evening,4,2
1072,347,347_subtraj_9,29718_39324,29718,39324,Evening,2,1
1073,347,347_subtraj_91,21285_31284,21285,31284,Morning,2,1
1074,347,347_subtraj_93,21655_39324,21655,39324,Afternoon,3,2
1075,347,347_subtraj_95,29719_21656,29719,21656,Early morning,3,1
1076,347,347_subtraj_99,29711_20542,29711,20542,Morning,2,1
1077,366,366_subtraj_101,78354_73701,78354,73701,Afternoon,15,6
1078,366,366_subtraj_103,64044_69901,64044,69901,Morning,2,1
1079,366,366_subtraj_104,73701_78354,73701,78354,Morning,12,4
1080,366,366_subtraj_105,78354_73701,78354,73701,Evening,15,3
1081,366,366_subtraj_107,78354_74155,78354,74155,Evening,2,1
1082,366,366_subtraj_108,69505_69901,69505,69901,Early morning,3,1
1083,366,366_subtraj_111,78354_73701,78354,73701,Morning,15,2
1084,366,366_subtraj_113,78354_73701,78354,73701,Evening,15,3
1085,366,366_subtraj_115,78354_73701,78354,73701,Afternoon,15,6
1086,366,366_subtraj_116,73701_48209,73701,48209,Afternoon,3,2
1087,366,366_subtraj_117,78354_73701,78354,73701,Early morning,15,4
1088,366,366_subtraj_120,29719_73701,29719,73701,Morning,2,2
1089,366,366_subtraj_121,78354_73701,78354,73701,Evening,15,3
1090,366,366_subtraj_128,74548_78354,74548,78354,Afternoon,3,1
1091,366,366_subtraj_129,73701_78354,73701,78354,Morning,12,4
1092,366,366_subtraj_135,74556_77129,74556,77129,Afternoon,2,1
1093,366,366_subtraj_14,78354_72432,78354,72432,Early morning,2,1
1094,366,366_subtraj_140,69901_64044,69901,64044,Morning,3,1
1095,366,366_subtraj_141,73701_78354,73701,78354,Afternoon,12,3
1096,366,366_subtraj_145,69901_64044,69901,64044,Afternoon,3,2
1097,366,366_subtraj_146,73701_78354,73701,78354,Afternoon,12,3
1098,366,366_subtraj_147,78354_74124,78354,74124,Evening,3,1
1099,366,366_subtraj_148,69901_64044,69901,64044,Afternoon,3,2
1100,366,366_subtraj_15,73701_48226,73701,48226,Afternoon,2,2
1101,366,366_subtraj_151,73701_48209,73701,48209,Evening,3,1
1102,366,366_subtraj_152,48208_73701,48208,73701,Early morning,2,1
1103,366,366_subtraj_153,78354_74124,78354,74124,Morning,3,1
1104,366,366_subtraj_154,48208_73701,48208,73701,Morning,2,1
1105,366,366_subtraj_156,20542_74124,20542,74124,Evening,3,2
1106,366,366_subtraj_157,73701_77928,73701,77928,Early morning,2,1
1107,366,366_subtraj_158,78354_74548,78354,74548,Morning,4,1
1108,366,366_subtraj_162,20542_74124,20542,74124,Evening,3,2
1109,366,366_subtraj_163,73701_48226,73701,48226,Afternoon,2,2
1110,366,366_subtraj_165,78354_73701,78354,73701,Afternoon,15,6
1111,366,366_subtraj_166,69901_51575,69901,51575,Afternoon,2,1
1112,366,366_subtraj_17,73701_78354,73701,78354,Early morning,12,4
1113,366,366_subtraj_170,73701_48209,73701,48209,Afternoon,3,2
1114,366,366_subtraj_173,78354_74548,78354,74548,Evening,4,1
1115,366,366_subtraj_178,69901_51574,69901,51574,Afternoon,2,1
1116,366,366_subtraj_180,20542_74124,20542,74124,Early morning,3,1
1117,366,366_subtraj_181,74548_77129,74548,77129,Afternoon,3,2
1118,366,366_subtraj_188,69901_69926,69901,69926,Afternoon,2,1
1119,366,366_subtraj_190,69901_51574,69901,51574,Evening,2,1
1120,366,366_subtraj_208,78354_74548,78354,74548,Afternoon,4,1
1121,366,366_subtraj_21,69901_69926,69901,69926,Evening,2,1
1122,366,366_subtraj_212,74548_77129,74548,77129,Early morning,3,1
1123,366,366_subtraj_218,29719_73701,29719,73701,Morning,2,2
1124,366,366_subtraj_22,73701_78354,73701,78354,Evening,12,1
1125,366,366_subtraj_220,69505_69901,69505,69901,Evening,3,1
1126,366,366_subtraj_23,78354_74548,78354,74548,Early morning,4,1
1127,366,366_subtraj_24,76227_72432,76227,72432,Early morning,2,1
1128,366,366_subtraj_26,78354_73701,78354,73701,Morning,15,2
1129,366,366_subtraj_27,74556_77129,74556,77129,Evening,2,1
1130,366,366_subtraj_3,69505_69901,69505,69901,Afternoon,3,1
1131,366,366_subtraj_34,78354_72432,78354,72432,Afternoon,2,1
1132,366,366_subtraj_36,73701_78354,73701,78354,Early morning,12,4
1133,366,366_subtraj_37,73701_78354,73701,78354,Early morning,12,4
1134,366,366_subtraj_4,74548_77129,74548,77129,Afternoon,3,2
1135,366,366_subtraj_40,69901_51575,69901,51575,Early morning,2,1
1136,366,366_subtraj_42,74548_78354,74548,78354,Evening,3,1
1137,366,366_subtraj_43,78354_73701,78354,73701,Afternoon,15,6
1138,366,366_subtraj_44,73701_78354,73701,78354,Morning,12,4
1139,366,366_subtraj_48,73701_78354,73701,78354,Early morning,12,4
1140,366,366_subtraj_70,73701_77928,73701,77928,Morning,2,1
1141,366,366_subtraj_71,78354_73701,78354,73701,Afternoon,15,6
1142,366,366_subtraj_72,78354_73701,78354,73701,Afternoon,15,6
1143,366,366_subtraj_73,76227_72432,76227,72432,Evening,2,1
1144,366,366_subtraj_75,78354_73701,78354,73701,Early morning,15,4
1145,366,366_subtraj_80,78354_73701,78354,73701,Early morning,15,4
1146,366,366_subtraj_83,78354_74124,78354,74124,Afternoon,3,1
1147,366,366_subtraj_84,78354_74155,78354,74155,Early morning,2,1
1148,366,366_subtraj_85,74548_78354,74548,78354,Morning,3,1
1149,366,366_subtraj_88,78354_73701,78354,73701,Early morning,15,4
1150,366,366_subtraj_9,64044_69901,64044,69901,Afternoon,2,1
1151,366,366_subtraj_94,73701_78354,73701,78354,Afternoon,12,3
1152,366,366_subtraj_98,73701_78354,73701,78354,Morning,12,4
1153,367,367_subtraj_10,29339_20542,29339,20542,Evening,2,1
1154,367,367_subtraj_101,29701_20908,29701,20908,Afternoon,2,1
1155,367,367_subtraj_104,29701_20542,29701,20542,Evening,2,1
1156,367,367_subtraj_105,46245_49951,46245,49951,Evening,2,1
1157,367,367_subtraj_107,36097_20908,36097,20908,Evening,2,1
1158,367,367_subtraj_110,26961_20908,26961,20908,Evening,2,1
1159,367,367_subtraj_112,29701_20542,29701,20542,Early morning,2,1
1160,367,367_subtraj_114,29701_20908,29701,20908,Early morning,2,1
1161,367,367_subtraj_115,26590_20908,26590,20908,Early morning,2,2
1162,367,367_subtraj_116,20542_40551,20542,40551,Early morning,2,2
1163,367,367_subtraj_120,25843_20908,25843,20908,Morning,3,2
1164,367,367_subtraj_122,20542_45037,20542,45037,Morning,2,1
1165,367,367_subtraj_123,32487_20908,32487,20908,Morning,2,1
1166,367,367_subtraj_124,26962_20908,26962,20908,Morning,5,2
1167,367,367_subtraj_13,25843_20908,25843,20908,Evening,3,1
1168,367,367_subtraj_130,27776_20908,27776,20908,Afternoon,3,1
1169,367,367_subtraj_131,20542_39741,20542,39741,Afternoon,3,2
1170,367,367_subtraj_132,31691_41359,31691,41359,Afternoon,2,1
1171,367,367_subtraj_134,26962_20908,26962,20908,Evening,5,2
1172,367,367_subtraj_135,20542_45037,20542,45037,Evening,2,1
1173,367,367_subtraj_137,31691_39741,31691,39741,Evening,2,2
1174,367,367_subtraj_139,20542_29317,20542,29317,Evening,3,1
1175,367,367_subtraj_14,20542_40551,20542,40551,Early morning,2,2
1176,367,367_subtraj_142,26203_20908,26203,20908,Early morning,3,1
1177,367,367_subtraj_146,20542_29317,20542,29317,Early morning,3,1
1178,367,367_subtraj_148,31284_39741,31284,39741,Early morning,2,1
1179,367,367_subtraj_150,20542_29317,20542,29317,Morning,3,1
1180,367,367_subtraj_155,27776_20908,27776,20908,Morning,3,2
1181,367,367_subtraj_16,29339_20908,29339,20908,Early morning,2,2
1182,367,367_subtraj_160,26961_20908,26961,20908,Afternoon,2,1
1183,367,367_subtraj_161,20542_39741,20542,39741,Afternoon,3,2
1184,367,367_subtraj_162,39325_20908,39325,20908,Afternoon,2,1
1185,367,367_subtraj_168,32487_20908,32487,20908,Evening,2,1
1186,367,367_subtraj_170,26962_20908,26962,20908,Evening,5,2
1187,367,367_subtraj_171,39325_20908,39325,20908,Evening,2,1
1188,367,367_subtraj_174,26962_20908,26962,20908,Early morning,5,1
1189,367,367_subtraj_178,46245_49951,46245,49951,Early morning,2,1
1190,367,367_subtraj_180,48704_49956,48704,49956,Morning,3,2
1191,367,367_subtraj_183,48704_49956,48704,49956,Morning,3,2
1192,367,367_subtraj_29,39347_33337,39347,33337,Early morning,3,1
1193,367,367_subtraj_30,33337_20908,33337,20908,Early morning,2,1
1194,367,367_subtraj_31,20542_39741,20542,39741,Morning,3,1
1195,367,367_subtraj_45,31284_39741,31284,39741,Afternoon,2,1
1196,367,367_subtraj_48,25843_20908,25843,20908,Morning,3,2
1197,367,367_subtraj_49,48704_49956,48704,49956,Early morning,3,1
1198,367,367_subtraj_51,26962_20908,26962,20908,Morning,5,2
1199,367,367_subtraj_52,29339_20542,29339,20542,Afternoon,2,1
1200,367,367_subtraj_56,39347_33337,39347,33337,Afternoon,3,2
1201,367,367_subtraj_62,26590_20908,26590,20908,Early morning,2,2
1202,367,367_subtraj_64,26203_20908,26203,20908,Morning,3,1
1203,367,367_subtraj_66,31691_41359,31691,41359,Evening,2,1
